ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-01-28,2.77861476992652,2.0746351014888837,3.167574787252253,2.77861476992652,2.77861476992652,-0.1325773269871752,-0.1325773269871752,-0.1325773269871752,-0.1325773269871752,-0.1325773269871752,-0.1325773269871752,0.0,0.0,0.0,2.646037442939345
2008-02-04,2.779745225048824,2.0518652229564247,3.2169891225911424,2.779745225048824,2.779745225048824,-0.13332829048159434,-0.13332829048159434,-0.13332829048159434,-0.13332829048159434,-0.13332829048159434,-0.13332829048159434,0.0,0.0,0.0,2.6464169345672297
2008-02-11,2.780875680171128,2.101637189558798,3.210438405790699,2.780875680171128,2.780875680171128,-0.1296591496418593,-0.1296591496418593,-0.1296591496418593,-0.1296591496418593,-0.1296591496418593,-0.1296591496418593,0.0,0.0,0.0,2.6512165305292688
2008-02-18,2.782006135293432,2.113880764697201,3.2217007718815824,2.782006135293432,2.782006135293432,-0.1193120028942463,-0.1193120028942463,-0.1193120028942463,-0.1193120028942463,-0.1193120028942463,-0.1193120028942463,0.0,0.0,0.0,2.6626941323991855
2008-02-25,2.783136590415736,2.1424882082181806,3.266828144666571,2.783136590415736,2.783136590415736,-0.10203169562276768,-0.10203169562276768,-0.10203169562276768,-0.10203169562276768,-0.10203169562276768,-0.10203169562276768,0.0,0.0,0.0,2.6811048947929685
2008-03-03,2.7842670455380403,2.1631536166739176,3.2863603024018184,2.7842670455380403,2.7842670455380403,-0.08128275314860268,-0.08128275314860268,-0.08128275314860268,-0.08128275314860268,-0.08128275314860268,-0.08128275314860268,0.0,0.0,0.0,2.7029842923894374
2008-03-10,2.785397500660345,2.1680038005317495,3.2926129250986267,2.785397500660345,2.785397500660345,-0.06305388377212541,-0.06305388377212541,-0.06305388377212541,-0.06305388377212541,-0.06305388377212541,-0.06305388377212541,0.0,0.0,0.0,2.7223436168882196
2008-03-17,2.7865279557826486,2.1943199259397166,3.274821979285634,2.7865279557826486,2.7865279557826486,-0.05130762299285955,-0.05130762299285955,-0.05130762299285955,-0.05130762299285955,-0.05130762299285955,-0.05130762299285955,0.0,0.0,0.0,2.735220332789789
2008-03-24,2.7876584109049527,2.1992806088131136,3.3392387006112454,2.7876584109049527,2.7876584109049527,-0.044065601012176006,-0.044065601012176006,-0.044065601012176006,-0.044065601012176006,-0.044065601012176006,-0.044065601012176006,0.0,0.0,0.0,2.743592809892777
2008-03-31,2.788788866027257,2.131679271567345,3.297354827541191,2.788788866027257,2.788788866027257,-0.03459857510365853,-0.03459857510365853,-0.03459857510365853,-0.03459857510365853,-0.03459857510365853,-0.03459857510365853,0.0,0.0,0.0,2.7541902909235985
