,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1986-01-06,18.019778960837428,-7.500356493919126,40.140419785551245,18.019778960837428,18.019778960837428,-1.6657038981603258,-1.6657038981603258,-1.6657038981603258,-1.6657038981603258,-1.6657038981603258,-1.6657038981603258,0.0,0.0,0.0,16.3540750626771
1,1986-01-13,18.023235660532723,-7.213539829834024,40.94047853454405,18.023235660532723,18.023235660532723,-1.3984545334611596,-1.3984545334611596,-1.3984545334611596,-1.3984545334611596,-1.3984545334611596,-1.3984545334611596,0.0,0.0,0.0,16.624781127071564
2,1986-01-20,18.02669236022802,-7.158932485270149,40.6759064764699,18.02669236022802,18.02669236022802,-1.4689195070312657,-1.4689195070312657,-1.4689195070312657,-1.4689195070312657,-1.4689195070312657,-1.4689195070312657,0.0,0.0,0.0,16.557772853196752
3,1986-01-27,18.030149059923314,-6.435132125286725,40.57257852184491,18.030149059923314,18.030149059923314,-1.7810594901023142,-1.7810594901023142,-1.7810594901023142,-1.7810594901023142,-1.7810594901023142,-1.7810594901023142,0.0,0.0,0.0,16.249089569821
4,1986-02-03,18.03360575961861,-7.394404573768508,39.60356822850072,18.03360575961861,18.03360575961861,-2.0794749976871794,-2.0794749976871794,-2.0794749976871794,-2.0794749976871794,-2.0794749976871794,-2.0794749976871794,0.0,0.0,0.0,15.954130761931431
5,1986-02-10,18.037062459313905,-7.589255871826835,39.3208208220034,18.037062459313905,18.037062459313905,-2.1135127183658913,-2.1135127183658913,-2.1135127183658913,-2.1135127183658913,-2.1135127183658913,-2.1135127183658913,0.0,0.0,0.0,15.923549740948014
6,1986-02-17,18.0405191590092,-7.802888781102907,40.44175092198201,18.0405191590092,18.0405191590092,-1.7918367321000803,-1.7918367321000803,-1.7918367321000803,-1.7918367321000803,-1.7918367321000803,-1.7918367321000803,0.0,0.0,0.0,16.24868242690912
7,1986-02-24,18.043975858704496,-7.64577985230456,41.18876031478187,18.043975858704496,18.043975858704496,-1.2465476649251224,-1.2465476649251224,-1.2465476649251224,-1.2465476649251224,-1.2465476649251224,-1.2465476649251224,0.0,0.0,0.0,16.797428193779375
8,1986-03-03,18.04743255839979,-7.146228209186838,44.55330009107794,18.04743255839979,18.04743255839979,-0.7571106834876449,-0.7571106834876449,-0.7571106834876449,-0.7571106834876449,-0.7571106834876449,-0.7571106834876449,0.0,0.0,0.0,17.290321874912145
9,1986-03-10,18.050889258095086,-7.794265985316362,40.67908127274692,18.050889258095086,18.050889258095086,-0.5573188020631065,-0.5573188020631065,-0.5573188020631065,-0.5573188020631065,-0.5573188020631065,-0.5573188020631065,0.0,0.0,0.0,17.49357045603198
10,1986-03-17,18.05434595779038,-5.8060693009507265,43.23202720927374,18.05434595779038,18.05434595779038,-0.652941607575493,-0.652941607575493,-0.652941607575493,-0.652941607575493,-0.652941607575493,-0.652941607575493,0.0,0.0,0.0,17.40140435021489
11,1986-03-24,18.057802657485677,-7.570239030756355,39.9531880600682,18.057802657485674,18.057802657485674,-0.8110179886033724,-0.8110179886033724,-0.8110179886033724,-0.8110179886033724,-0.8110179886033724,-0.8110179886033724,0.0,0.0,0.0,17.246784668882306
12,1986-03-31,18.061259357180973,-5.077184322543883,39.92015295563396,18.061259357180973,18.061259357180973,-0.757109001331687,-0.757109001331687,-0.757109001331687,-0.757109001331687,-0.757109001331687,-0.757109001331687,0.0,0.0,0.0,17.304150355849284
13,1986-04-07,18.064716056876268,-4.354907630878771,41.93148348513786,18.064716056876268,18.064716056876268,-0.4155633169825835,-0.4155633169825835,-0.4155633169825835,-0.4155633169825835,-0.4155633169825835,-0.4155633169825835,0.0,0.0,0.0,17.649152739893683
14,1986-04-14,18.068172756571563,-6.244161205372683,41.522341650067666,18.068172756571563,18.068172756571563,0.03760197897507153,0.03760197897507153,0.03760197897507153,0.03760197897507153,0.03760197897507153,0.03760197897507153,0.0,0.0,0.0,18.105774735546635
15,1986-04-21,18.07162945626686,-5.939045042505647,42.85439137526939,18.07162945626686,18.07162945626686,0.3644488779517942,0.3644488779517942,0.3644488779517942,0.3644488779517942,0.3644488779517942,0.3644488779517942,0.0,0.0,0.0,18.436078334218653
16,1986-04-28,18.075086155962154,-5.231652053376019,43.780646991271205,18.075086155962154,18.075086155962154,0.5003625222447178,0.5003625222447178,0.5003625222447178,0.5003625222447178,0.5003625222447178,0.5003625222447178,0.0,0.0,0.0,18.57544867820687
17,1986-05-05,18.07854285565745,-6.175066658107628,43.19864946867025,18.07854285565745,18.07854285565745,0.5872820552603996,0.5872820552603996,0.5872820552603996,0.5872820552603996,0.5872820552603996,0.5872820552603996,0.0,0.0,0.0,18.66582491091785
18,1986-05-12,18.081999555352745,-6.253703545417153,42.69452860526662,18.081999555352745,18.081999555352745,0.7805899199392925,0.7805899199392925,0.7805899199392925,0.7805899199392925,0.7805899199392925,0.7805899199392925,0.0,0.0,0.0,18.862589475292037
19,1986-05-19,18.08545625504804,-3.1754497401619357,41.78993353702051,18.08545625504804,18.08545625504804,1.0584991281323681,1.0584991281323681,1.0584991281323681,1.0584991281323681,1.0584991281323681,1.0584991281323681,0.0,0.0,0.0,19.14395538318041
20,1986-05-26,18.088912954743336,-4.937563594219471,44.36835743663417,18.088912954743336,18.088912954743336,1.254644302018683,1.254644302018683,1.254644302018683,1.254644302018683,1.254644302018683,1.254644302018683,0.0,0.0,0.0,19.34355725676202
21,1986-06-02,18.09236965443863,-2.469306212221712,43.00132047988574,18.09236965443863,18.09236965443863,1.2707629933616171,1.2707629933616171,1.2707629933616171,1.2707629933616171,1.2707629933616171,1.2707629933616171,0.0,0.0,0.0,19.36313264780025
22,1986-06-09,18.095826354133926,-4.0021522382249675,43.2673253929997,18.095826354133926,18.095826354133926,1.2138750580485504,1.2138750580485504,1.2138750580485504,1.2138750580485504,1.2138750580485504,1.2138750580485504,0.0,0.0,0.0,19.309701412182477
23,1986-06-16,18.09928305382922,-4.595844082505519,41.40977285469421,18.09928305382922,18.09928305382922,1.2914664549013788,1.2914664549013788,1.2914664549013788,1.2914664549013788,1.2914664549013788,1.2914664549013788,0.0,0.0,0.0,19.3907495087306
24,1986-06-23,18.102739753524517,-4.3276006593808365,43.27237632440137,18.102739753524517,18.102739753524517,1.5832477481252898,1.5832477481252898,1.5832477481252898,1.5832477481252898,1.5832477481252898,1.5832477481252898,0.0,0.0,0.0,19.685987501649805
25,1986-06-30,18.106196453219813,-4.051536896618338,43.540638564980256,18.106196453219813,18.106196453219813,1.9514267128806935,1.9514267128806935,1.9514267128806935,1.9514267128806935,1.9514267128806935,1.9514267128806935,0.0,0.0,0.0,20.057623166100505
26,1986-07-07,18.109653152915108,-5.3918424405008665,43.2778071595807,18.109653152915108,18.109653152915108,2.1864491285091394,2.1864491285091394,2.1864491285091394,2.1864491285091394,2.1864491285091394,2.1864491285091394,0.0,0.0,0.0,20.296102281424247
27,1986-07-14,18.113109852610403,-3.691423475287604,44.763642331544915,18.113109852610403,18.113109852610403,2.21309938599934,2.21309938599934,2.21309938599934,2.21309938599934,2.21309938599934,2.21309938599934,0.0,0.0,0.0,20.326209238609742
28,1986-07-21,18.1165665523057,-1.8942394767423398,43.86948840242741,18.1165665523057,18.1165665523057,2.1254446988202744,2.1254446988202744,2.1254446988202744,2.1254446988202744,2.1254446988202744,2.1254446988202744,0.0,0.0,0.0,20.242011251125973
29,1986-07-28,18.120023252000994,-3.7837941085363904,44.95452116321177,18.120023252000994,18.120023252000994,2.0344977264569737,2.0344977264569737,2.0344977264569737,2.0344977264569737,2.0344977264569737,2.0344977264569737,0.0,0.0,0.0,20.154520978457967
30,1986-08-04,18.12347995169629,-4.048764313123038,46.38654846616945,18.12347995169629,18.12347995169629,1.930741090012521,1.930741090012521,1.930741090012521,1.930741090012521,1.930741090012521,1.930741090012521,0.0,0.0,0.0,20.05422104170881
31,1986-08-11,18.126936651391585,-4.877166545527722,44.722930157543516,18.126936651391585,18.126936651391585,1.7255031578440039,1.7255031578440039,1.7255031578440039,1.7255031578440039,1.7255031578440039,1.7255031578440039,0.0,0.0,0.0,19.852439809235587
32,1986-08-18,18.13039335108688,-4.070711784153637,43.40785446687684,18.13039335108688,18.13039335108688,1.4025977861835062,1.4025977861835062,1.4025977861835062,1.4025977861835062,1.4025977861835062,1.4025977861835062,0.0,0.0,0.0,19.532991137270386
33,1986-08-25,18.133850050782176,-4.654901102444025,44.56239924622879,18.133850050782176,18.133850050782176,1.078428160347359,1.078428160347359,1.078428160347359,1.078428160347359,1.078428160347359,1.078428160347359,0.0,0.0,0.0,19.212278211129536
34,1986-09-01,18.13730675047747,-6.770552004958697,43.47339642410813,18.13730675047747,18.13730675047747,0.8922628598033295,0.8922628598033295,0.8922628598033295,0.8922628598033295,0.8922628598033295,0.8922628598033295,0.0,0.0,0.0,19.029569610280802
35,1986-09-08,18.140763450172766,-5.125604657119359,42.56934622374299,18.140763450172766,18.140763450172766,0.8631794659656542,0.8631794659656542,0.8631794659656542,0.8631794659656542,0.8631794659656542,0.8631794659656542,0.0,0.0,0.0,19.00394291613842
36,1986-09-15,18.14422014986806,-6.576383319949289,44.830608845730076,18.14422014986806,18.14422014986806,0.8860689314681471,0.8860689314681471,0.8860689314681471,0.8860689314681471,0.8860689314681471,0.8860689314681471,0.0,0.0,0.0,19.03028908133621
37,1986-09-22,18.147676849563357,-5.466088935105675,43.51809762187524,18.147676849563357,18.147676849563357,0.8600428536175709,0.8600428536175709,0.8600428536175709,0.8600428536175709,0.8600428536175709,0.8600428536175709,0.0,0.0,0.0,19.00771970318093
38,1986-09-29,18.151133549258653,-5.997751353715604,43.70799685501126,18.151133549258653,18.151133549258653,0.7819180900894311,0.7819180900894311,0.7819180900894311,0.7819180900894311,0.7819180900894311,0.7819180900894311,0.0,0.0,0.0,18.933051639348083
39,1986-10-06,18.154590248953955,-5.244832866059511,40.45672183136263,18.154590248953955,18.154590248953955,0.6957872610727118,0.6957872610727118,0.6957872610727118,0.6957872610727118,0.6957872610727118,0.6957872610727118,0.0,0.0,0.0,18.850377510026668
40,1986-10-13,18.15804694864925,-5.654169804296009,43.56896336384307,18.15804694864925,18.15804694864925,0.5836256992538486,0.5836256992538486,0.5836256992538486,0.5836256992538486,0.5836256992538486,0.5836256992538486,0.0,0.0,0.0,18.741672647903098
41,1986-10-20,18.161503648344546,-4.6579459677060076,44.253807108799045,18.161503648344546,18.161503648344546,0.35768883620462877,0.35768883620462877,0.35768883620462877,0.35768883620462877,0.35768883620462877,0.35768883620462877,0.0,0.0,0.0,18.519192484549176
42,1986-10-27,18.16496034803984,-4.184190289081717,41.99001008890175,18.16496034803984,18.16496034803984,-0.024150199004582887,-0.024150199004582887,-0.024150199004582887,-0.024150199004582887,-0.024150199004582887,-0.024150199004582887,0.0,0.0,0.0,18.140810149035257
43,1986-11-03,18.168417047735137,-5.442251869428942,41.33510401594854,18.168417047735137,18.168417047735137,-0.4718405777498023,-0.4718405777498023,-0.4718405777498023,-0.4718405777498023,-0.4718405777498023,-0.4718405777498023,0.0,0.0,0.0,17.696576469985335
44,1986-11-10,18.171873747430432,-4.904391662288625,43.37760313798317,18.171873747430432,18.171873747430432,-0.8355130613491428,-0.8355130613491428,-0.8355130613491428,-0.8355130613491428,-0.8355130613491428,-0.8355130613491428,0.0,0.0,0.0,17.33636068608129
45,1986-11-17,18.175330447125727,-6.733463130051799,41.89408582963896,18.175330447125727,18.175330447125727,-1.069189553047765,-1.069189553047765,-1.069189553047765,-1.069189553047765,-1.069189553047765,-1.069189553047765,0.0,0.0,0.0,17.106140894077964
46,1986-11-24,18.178787146821023,-6.275278698582901,40.095858401197,18.178787146821023,18.178787146821023,-1.2896858434446459,-1.2896858434446459,-1.2896858434446459,-1.2896858434446459,-1.2896858434446459,-1.2896858434446459,0.0,0.0,0.0,16.88910130337638
47,1986-12-01,18.182243846516318,-6.912076431946712,41.890875096509184,18.182243846516318,18.182243846516318,-1.6425219696385196,-1.6425219696385196,-1.6425219696385196,-1.6425219696385196,-1.6425219696385196,-1.6425219696385196,0.0,0.0,0.0,16.5397218768778
48,1986-12-08,18.185700546211613,-6.963117334885796,38.80125239176354,18.185700546211613,18.185700546211613,-2.1112910267590075,-2.1112910267590075,-2.1112910267590075,-2.1112910267590075,-2.1112910267590075,-2.1112910267590075,0.0,0.0,0.0,16.074409519452605
49,1986-12-15,18.18915724590691,-8.583107281773376,38.995638692335696,18.18915724590691,18.18915724590691,-2.4842769022063123,-2.4842769022063123,-2.4842769022063123,-2.4842769022063123,-2.4842769022063123,-2.4842769022063123,0.0,0.0,0.0,15.704880343700596
50,1986-12-22,18.192613945602204,-10.703260813696776,39.86415417761067,18.192613945602204,18.192613945602204,-2.5297064022812465,-2.5297064022812465,-2.5297064022812465,-2.5297064022812465,-2.5297064022812465,-2.5297064022812465,0.0,0.0,0.0,15.662907543320959
51,1986-12-29,18.1960706452975,-7.578954615093722,38.40949904756509,18.1960706452975,18.1960706452975,-2.211851331989305,-2.211851331989305,-2.211851331989305,-2.211851331989305,-2.211851331989305,-2.211851331989305,0.0,0.0,0.0,15.984219313308195
52,1987-01-05,18.199527344992795,-7.926049631050678,39.68538341026114,18.199527344992795,18.199527344992795,-1.7416463984409278,-1.7416463984409278,-1.7416463984409278,-1.7416463984409278,-1.7416463984409278,-1.7416463984409278,0.0,0.0,0.0,16.457880946551867
53,1987-01-12,18.20298404468809,-5.623749698830959,41.073787593073824,18.20298404468809,18.20298404468809,-1.4223490497626483,-1.4223490497626483,-1.4223490497626483,-1.4223490497626483,-1.4223490497626483,-1.4223490497626483,0.0,0.0,0.0,16.780634994925443
54,1987-01-19,18.206440744383386,-7.191988583842409,39.90138379362118,18.206440744383386,18.206440744383386,-1.4329576731898928,-1.4329576731898928,-1.4329576731898928,-1.4329576731898928,-1.4329576731898928,-1.4329576731898928,0.0,0.0,0.0,16.773483071193493
55,1987-01-26,18.20989744407868,-7.694301855015308,40.885553438171115,18.20989744407868,18.20989744407868,-1.7180054878267275,-1.7180054878267275,-1.7180054878267275,-1.7180054878267275,-1.7180054878267275,-1.7180054878267275,0.0,0.0,0.0,16.491891956251955
56,1987-02-02,18.213354143773977,-8.686458466433114,40.81506539990059,18.213354143773977,18.213354143773977,-2.039717731731765,-2.039717731731765,-2.039717731731765,-2.039717731731765,-2.039717731731765,-2.039717731731765,0.0,0.0,0.0,16.17363641204221
57,1987-02-09,18.216810843469272,-7.135666363727785,39.544661031735885,18.216810843469272,18.216810843469272,-2.1337993664626165,-2.1337993664626165,-2.1337993664626165,-2.1337993664626165,-2.1337993664626165,-2.1337993664626165,0.0,0.0,0.0,16.083011477006657
58,1987-02-16,18.220267543164567,-7.349118366419827,40.780717395633765,18.220267543164567,18.220267543164567,-1.8722572336698047,-1.8722572336698047,-1.8722572336698047,-1.8722572336698047,-1.8722572336698047,-1.8722572336698047,0.0,0.0,0.0,16.34801030949476
59,1987-02-23,18.223724242859863,-6.369540748335081,41.38361250645942,18.223724242859863,18.223724242859863,-1.3485646851649593,-1.3485646851649593,-1.3485646851649593,-1.3485646851649593,-1.3485646851649593,-1.3485646851649593,0.0,0.0,0.0,16.875159557694904
60,1987-03-02,18.227180881921157,-5.934252091320124,43.32521334673369,18.227180881921157,18.227180881921157,-0.8277617764193367,-0.8277617764193367,-0.8277617764193367,-0.8277617764193367,-0.8277617764193367,-0.8277617764193367,0.0,0.0,0.0,17.39941910550182
61,1987-03-09,18.230637520982455,-4.861018900563453,39.79217876142672,18.230637520982455,18.230637520982455,-0.567788419362249,-0.567788419362249,-0.567788419362249,-0.567788419362249,-0.567788419362249,-0.567788419362249,0.0,0.0,0.0,17.662849101620207
